Date,Open,High,Low,Close,Volume,Turnover
01-01-1996,205.0,206.1,203.65,205.75,3717450,76300000000000.0
02-01-1996,205.25,206.25,202.65,204.15,6024650,123000000000000.0
03-01-1996,207.5,216.95,205.25,205.7,7473500,155000000000000.0
04-01-1996,203.75,204.4,201.05,203.8,7744000,157000000000000.0
05-01-1996,203.0,203.0,200.65,202.4,5952000,120000000000000.0
08-01-1996,202.0,202.15,192.3,194.3,6675550,132000000000000.0
09-01-1996,188.55,192.0,182.25,188.7,13880150,258000000000000.0
10-01-1996,185.0,189.45,183.0,183.85,9875700,184000000000000.0
11-01-1996,182.0,190.5,181.75,189.6,14625600,272000000000000.0
12-01-1996,191.0,192.45,186.35,187.6,13377500,253000000000000.0
15-01-1996,187.05,188.0,184.6,185.65,7139950,133000000000000.0
16-01-1996,185.0,187.0,184.4,186.0,7756400,144000000000000.0
17-01-1996,185.0,185.25,177.05,178.6,10697700,194000000000000.0
18-01-1996,174.05,176.9,171.8,173.65,13478000,235000000000000.0
19-01-1996,171.25,173.4,169.45,170.6,11586900,198000000000000.0
22-01-1996,171.15,175.75,171.0,173.5,12089550,210000000000000.0
23-01-1996,174.1,174.85,157.0,166.15,12671700,216000000000000.0
24-01-1996,164.7,165.7,158.0,160.45,12538400,202000000000000.0
25-01-1996,160.1,160.8,152.75,153.7,12883650,202000000000000.0
29-01-1996,153.0,167.25,152.05,165.8,23310600,374000000000000.0
30-01-1996,171.0,189.0,168.5,180.7,37914350,663000000000000.0
31-01-1996,179.0,185.75,172.25,176.75,26118950,469000000000000.0
01-02-1996,175.0,185.0,174.5,183.85,22865050,412000000000000.0
02-02-1996,188.75,206.0,188.75,203.8,29231000,574000000000000.0
05-02-1996,215.0,225.2,208.55,220.75,43646350,945000000000000.0
06-02-1996,226.05,230.0,197.6,202.25,44354450,967000000000000.0
07-02-1996,191.05,208.0,189.05,206.0,31970000,644000000000000.0
08-02-1996,208.1,227.65,206.0,224.0,29335550,628000000000000.0
09-02-1996,232.0,242.0,224.1,237.0,35504550,829000000000000.0
12-02-1996,231.0,235.0,219.0,222.15,34689050,791000000000000.0
13-02-1996,220.0,244.15,218.1,235.5,36382650,821000000000000.0
14-02-1996,241.5,244.95,233.85,235.65,22223700,530000000000000.0
15-02-1996,230.0,237.5,228.0,231.9,24961300,582000000000000.0
16-02-1996,228.0,230.25,226.05,227.8,17696100,404000000000000.0
19-02-1996,232.0,235.2,228.75,230.1,18502450,430000000000000.0
20-02-1996,230.0,230.95,215.0,217.95,22818950,510000000000000.0
22-02-1996,223.0,231.0,221.05,229.45,21905900,497000000000000.0
23-02-1996,229.0,229.5,223.2,227.0,19497250,441000000000000.0
26-02-1996,229.5,234.25,226.05,227.5,19456750,449000000000000.0
27-02-1996,228.8,230.0,221.05,224.9,19368600,436000000000000.0
28-02-1996,229.25,231.8,225.5,226.0,15274700,349000000000000.0
29-02-1996,224.0,224.8,210.5,211.85,24917100,541000000000000.0
01-03-1996,213.5,216.2,208.55,213.05,25819450,549000000000000.0
04-03-1996,214.0,215.0,208.4,210.85,24042700,509000000000000.0
06-03-1996,214.5,219.8,212.6,218.35,19417300,419000000000000.0
07-03-1996,221.4,225.25,219.25,220.3,30505050,678000000000000.0
08-03-1996,217.5,220.0,214.75,219.15,23093700,502000000000000.0
11-03-1996,216.0,220.5,215.15,219.85,22531900,490000000000000.0
12-03-1996,219.5,238.0,218.5,231.15,28669950,644000000000000.0
13-03-1996,225.0,228.25,222.25,227.2,20626200,466000000000000.0
14-03-1996,227.0,229.4,225.5,227.15,21336550,487000000000000.0
15-03-1996,225.95,226.65,218.0,219.7,22223150,496000000000000.0
18-03-1996,217.45,218.0,208.9,209.7,23825350,508000000000000.0
19-03-1996,209.0,212.8,192.5,196.8,37034500,760000000000000.0
21-03-1996,205.0,213.1,205.0,210.9,23937450,502000000000000.0
22-03-1996,206.95,206.95,198.5,202.35,24093300,487000000000000.0
25-03-1996,204.95,206.1,198.25,201.15,16322250,332000000000000.0
26-03-1996,200.0,204.0,193.5,199.85,19007600,377000000000000.0
27-03-1996,207.0,209.95,206.05,206.95,13468250,280000000000000.0
28-03-1996,207.5,210.7,206.8,209.65,12832000,268000000000000.0
29-03-1996,209.4,210.75,206.2,206.85,11637700,242000000000000.0
01-04-1996,207.75,209.5,206.0,208.8,8836850,184000000000000.0
02-04-1996,209.25,212.0,207.25,209.35,13118200,275000000000000.0
03-04-1996,214.05,216.4,210.6,211.1,10604950,226000000000000.0
04-04-1996,209.0,209.3,206.4,208.6,8634450,179000000000000.0
08-04-1996,211.25,213.2,209.9,212.1,8144200,172000000000000.0
09-04-1996,214.75,217.2,211.25,212.35,11431550,245000000000000.0
10-04-1996,215.0,215.95,211.4,212.25,10179050,217000000000000.0
11-04-1996,210.25,211.5,208.85,210.05,7729150,162000000000000.0
12-04-1996,210.05,217.5,209.1,215.8,12178600,260000000000000.0
15-04-1996,220.0,225.75,219.55,221.35,17016500,379000000000000.0
16-04-1996,222.0,224.75,220.0,221.85,13886250,308000000000000.0
17-04-1996,228.0,233.75,225.85,231.3,14638550,335000000000000.0
18-04-1996,238.5,245.25,236.65,244.0,24500850,590000000000000.0
19-04-1996,246.0,250.5,243.55,245.55,23490050,581000000000000.0
22-04-1996,248.0,248.5,236.5,237.75,20631250,497000000000000.0
23-04-1996,235.55,238.75,232.5,236.15,20359900,479000000000000.0
24-04-1996,247.1,258.1,246.2,255.3,19097550,479000000000000.0
25-04-1996,257.0,262.5,238.0,242.3,22143750,561000000000000.0
26-04-1996,242.0,247.45,236.0,244.45,22583350,545000000000000.0
29-04-1996,242.0,243.25,237.75,242.45,15034000,362000000000000.0
30-04-1996,242.0,250.0,240.5,244.65,15329500,372000000000000.0
01-05-1996,267.0,269.9,264.25,266.05,17689800,471000000000000.0
02-05-1996,264.0,267.6,260.0,266.25,18100300,477000000000000.0
03-05-1996,263.95,265.5,259.0,260.2,17620450,463000000000000.0
06-05-1996,254.0,255.4,244.3,245.6,21102750,528000000000000.0
07-05-1996,245.25,250.45,244.3,248.6,19587000,486000000000000.0
08-05-1996,244.0,253.5,241.0,249.95,28050450,690000000000000.0
09-05-1996,245.25,250.4,242.5,243.85,21757350,535000000000000.0
10-05-1996,238.0,242.65,236.55,241.3,21646350,518000000000000.0
13-05-1996,244.5,247.9,243.1,246.4,14223050,349000000000000.0
14-05-1996,246.0,254.9,244.75,253.25,23243250,579000000000000.0
15-05-1996,249.25,256.0,244.05,253.8,32748350,818000000000000.0
16-05-1996,256.75,260.5,253.55,255.25,24583100,633000000000000.0
17-05-1996,250.0,253.0,248.8,250.2,20182550,506000000000000.0
20-05-1996,247.0,247.4,241.6,242.35,11643300,285000000000000.0
21-05-1996,240.9,244.0,239.5,241.5,16289200,394000000000000.0
22-05-1996,244.0,245.2,242.05,242.8,11401300,278000000000000.0
23-05-1996,241.2,242.2,239.6,240.8,10521250,253000000000000.0
24-05-1996,243.1,243.8,241.8,243.05,8453750,205000000000000.0
27-05-1996,241.0,241.0,235.5,235.9,13776550,328000000000000.0
28-05-1996,231.0,231.0,225.55,228.25,19477700,445000000000000.0
29-05-1996,233.05,244.5,233.05,241.25,18374350,436000000000000.0
30-05-1996,243.0,243.7,235.3,236.85,18854900,450000000000000.0
31-05-1996,240.25,240.5,236.1,238.35,15921750,379000000000000.0
03-06-1996,243.0,246.5,241.5,245.65,17457450,426000000000000.0
04-06-1996,249.95,251.45,237.75,242.15,25677700,635000000000000.0
05-06-1996,245.0,245.0,238.45,240.6,11917700,287000000000000.0
06-06-1996,243.95,249.0,243.0,244.55,11819100,290000000000000.0
07-06-1996,241.1,245.5,240.75,244.35,7996100,195000000000000.0
10-06-1996,243.5,244.5,241.0,242.15,6481300,157000000000000.0
11-06-1996,241.0,242.5,238.9,240.25,8772050,211000000000000.0
12-06-1996,244.0,246.45,242.1,243.9,7153300,175000000000000.0
13-06-1996,243.5,244.85,242.15,242.95,4175350,102000000000000.0
14-06-1996,244.0,246.0,243.2,245.5,4379700,107000000000000.0
17-06-1996,246.25,246.25,241.55,242.15,3850350,93700000000000.0
18-06-1996,241.0,241.0,233.1,235.95,6824650,162000000000000.0
19-06-1996,236.0,237.0,227.05,228.9,8541550,198000000000000.0
20-06-1996,227.0,230.25,224.5,229.25,10162650,231000000000000.0
21-06-1996,227.9,229.4,221.6,222.9,12605400,284000000000000.0
24-06-1996,221.1,223.0,217.6,221.0,10982100,241000000000000.0
25-06-1996,222.0,223.0,212.0,216.35,12467500,274000000000000.0
26-06-1996,217.7,217.7,211.15,212.2,10572500,226000000000000.0
27-06-1996,210.25,218.0,207.65,216.0,19236750,408000000000000.0
28-06-1996,218.0,221.75,211.55,213.6,27115550,589000000000000.0
01-07-1996,211.05,217.7,206.5,208.75,19761700,414000000000000.0
02-07-1996,208.9,210.9,203.0,204.35,20282100,420000000000000.0
03-07-1996,201.5,201.95,188.5,190.65,23045600,449000000000000.0
04-07-1996,187.25,195.8,184.2,189.95,28804350,547000000000000.0
05-07-1996,191.75,193.5,184.55,187.1,21253550,401000000000000.0
08-07-1996,190.95,207.0,186.55,188.55,12419900,235000000000000.0
09-07-1996,187.05,207.0,172.0,179.3,19345150,354000000000000.0
10-07-1996,173.0,179.95,172.1,176.25,17136250,303000000000000.0
11-07-1996,178.5,182.5,175.55,176.7,16360750,293000000000000.0
12-07-1996,175.5,175.95,168.55,170.1,24598550,423000000000000.0
15-07-1996,169.0,188.0,166.1,179.55,51729750,929000000000000.0
16-07-1996,200.0,217.15,200.0,216.85,30655050,637000000000000.0
17-07-1996,209.0,229.0,205.6,220.7,39825300,868000000000000.0
18-07-1996,223.95,231.75,223.95,231.35,30297400,696000000000000.0
19-07-1996,233.45,242.95,233.45,242.8,14051100,340000000000000.0
22-07-1996,235.0,247.7,224.4,239.2,14482250,340000000000000.0
23-07-1996,248.0,251.2,236.35,241.25,17423200,431000000000000.0
24-07-1996,235.05,235.05,217.15,217.75,15986900,355000000000000.0
25-07-1996,215.8,219.0,206.9,207.95,21194100,451000000000000.0
26-07-1996,207.0,211.4,202.4,208.05,19068250,394000000000000.0
29-07-1996,210.85,218.25,209.6,212.2,15793800,339000000000000.0
30-07-1996,209.1,210.0,201.6,206.6,14707450,303000000000000.0
31-07-1996,208.0,216.75,197.8,213.8,14981550,308000000000000.0
01-08-1996,217.95,220.0,208.6,209.9,20484200,437000000000000.0
02-08-1996,209.2,211.45,205.5,207.05,12995400,271000000000000.0
05-08-1996,206.6,207.9,203.05,203.85,8193850,169000000000000.0
06-08-1996,203.0,209.5,201.15,205.95,11806600,241000000000000.0
07-08-1996,206.75,211.5,205.5,210.55,10921150,228000000000000.0
08-08-1996,211.9,213.2,205.5,206.45,10247300,214000000000000.0
09-08-1996,206.8,209.4,205.0,208.1,8497250,176000000000000.0
12-08-1996,209.0,210.55,207.1,208.05,6904900,144000000000000.0
13-08-1996,207.5,210.95,206.8,209.25,7013400,146000000000000.0
14-08-1996,205.65,209.5,205.65,206.4,6141850,128000000000000.0
16-08-1996,206.5,207.9,204.55,206.4,5397550,111000000000000.0
19-08-1996,205.5,206.0,196.1,197.25,8030600,162000000000000.0
20-08-1996,195.25,203.5,194.15,199.4,12571550,249000000000000.0
21-08-1996,204.8,209.4,203.5,209.4,11025750,230000000000000.0
22-08-1996,216.0,217.45,209.65,210.9,16770050,358000000000000.0
23-08-1996,211.0,215.75,210.0,213.45,12502400,267000000000000.0
26-08-1996,211.5,213.4,208.4,209.25,9975250,210000000000000.0
27-08-1996,209.0,210.25,206.0,207.55,10775300,224000000000000.0
28-08-1996,208.0,213.75,208.0,213.35,6137300,130000000000000.0
29-08-1996,213.95,214.45,210.9,211.35,6219600,132000000000000.0
30-08-1996,211.1,212.2,210.1,211.55,4365550,92200000000000.0
02-09-1996,212.1,213.45,211.1,212.7,4216750,89600000000000.0
03-09-1996,213.45,214.9,206.1,207.35,9857900,207000000000000.0
04-09-1996,206.25,208.1,205.1,207.6,4844150,100000000000000.0
05-09-1996,208.45,211.25,208.45,210.7,5124350,107000000000000.0
06-09-1996,211.55,211.85,208.1,208.95,3993450,83700000000000.0
09-09-1996,208.9,209.0,206.5,207.35,3857850,80000000000000.0
10-09-1996,207.15,207.15,204.25,205.5,5161700,106000000000000.0
11-09-1996,205.1,207.9,202.1,203.3,4453100,91300000000000.0
12-09-1996,202.0,203.2,198.5,201.8,9699950,195000000000000.0
13-09-1996,202.95,203.35,199.55,200.05,6495950,131000000000000.0
16-09-1996,199.05,199.05,191.4,192.9,7469400,146000000000000.0
17-09-1996,193.05,198.0,192.8,195.8,6327950,123000000000000.0
18-09-1996,195.0,207.5,194.75,205.35,7278000,146000000000000.0
19-09-1996,205.95,207.55,197.0,197.95,8776600,177000000000000.0
20-09-1996,197.6,200.95,196.0,196.85,5679200,112000000000000.0
23-09-1996,196.05,197.0,192.15,194.3,5822600,113000000000000.0
24-09-1996,195.0,197.9,194.5,195.8,4716950,92200000000000.0
25-09-1996,197.9,201.0,196.5,197.2,5289550,105000000000000.0
26-09-1996,196.2,196.9,192.5,194.1,4696850,91200000000000.0
27-09-1996,193.95,193.95,187.15,188.15,9216800,175000000000000.0
30-09-1996,187.0,191.9,185.4,191.05,8880950,167000000000000.0
01-10-1996,192.0,192.85,188.55,190.55,6648800,127000000000000.0
03-10-1996,192.5,194.9,188.3,189.7,5450600,104000000000000.0
04-10-1996,190.75,192.25,186.25,190.7,6429800,121000000000000.0
07-10-1996,191.15,191.15,180.5,187.0,9715800,181000000000000.0
08-10-1996,186.1,190.0,181.55,187.8,7023050,130000000000000.0
09-10-1996,190.0,192.0,187.25,190.25,6260800,119000000000000.0
10-10-1996,189.7,196.0,188.8,195.35,6942750,134000000000000.0
11-10-1996,196.25,198.5,193.1,195.1,7793850,153000000000000.0
14-10-1996,193.25,194.0,188.55,189.35,5772250,110000000000000.0
15-10-1996,188.15,191.5,185.75,188.8,5791200,109000000000000.0
16-10-1996,192.05,192.95,187.85,188.5,4973450,94600000000000.0
17-10-1996,187.55,195.0,185.85,193.35,10020950,190000000000000.0
18-10-1996,194.5,198.0,191.8,194.8,16045900,313000000000000.0
22-10-1996,196.25,205.5,196.25,201.75,14445750,292000000000000.0
23-10-1996,212.2,214.7,209.0,213.5,11475300,243000000000000.0
24-10-1996,214.95,220.9,208.6,210.7,23731750,511000000000000.0
25-10-1996,209.95,215.25,209.55,213.95,10967450,234000000000000.0
28-10-1996,215.0,216.0,210.5,211.55,7101750,151000000000000.0
29-10-1996,210.55,216.0,206.05,208.25,9118100,191000000000000.0
31-10-1996,204.55,204.55,199.6,202.0,6246600,126000000000000.0
01-11-1996,203.45,216.0,195.45,196.75,6304450,126000000000000.0
04-11-1996,195.0,195.0,186.8,188.7,7849500,149000000000000.0
05-11-1996,188.15,190.65,184.0,185.15,6128200,115000000000000.0
06-11-1996,181.15,185.25,176.15,182.95,13392700,243000000000000.0
07-11-1996,185.4,186.35,183.0,185.5,7058450,130000000000000.0
08-11-1996,186.5,188.1,180.5,187.15,5585500,104000000000000.0
10-11-1996,188.75,188.9,182.1,183.2,4271200,78700000000000.0
11-11-1996,182.75,185.95,180.8,183.45,5730850,104000000000000.0
13-11-1996,182.0,187.75,182.0,186.7,3269600,60700000000000.0
14-11-1996,186.0,187.0,183.35,184.25,2821050,52100000000000.0
15-11-1996,183.65,187.9,183.05,186.6,3199150,59300000000000.0
18-11-1996,187.5,192.2,187.5,191.7,5731900,109000000000000.0
19-11-1996,192.15,192.95,187.45,189.3,5268400,99900000000000.0
20-11-1996,189.5,189.5,182.1,182.85,4153000,76900000000000.0
21-11-1996,182.55,184.6,177.85,179.65,7486400,136000000000000.0
22-11-1996,177.7,180.7,176.65,177.85,8285700,148000000000000.0
25-11-1996,177.25,190.3,173.75,186.35,12755750,230000000000000.0
26-11-1996,189.6,194.65,183.05,189.4,14217450,270000000000000.0
27-11-1996,183.0,183.0,177.25,181.6,7942250,143000000000000.0
28-11-1996,182.0,183.95,179.5,180.65,4642150,84300000000000.0
29-11-1996,181.9,183.3,180.3,181.3,3596550,65400000000000.0
02-12-1996,180.25,182.95,179.15,180.85,2612350,47400000000000.0
03-12-1996,180.0,186.4,179.7,182.3,7147250,131000000000000.0
04-12-1996,181.0,181.0,177.1,179.75,4818750,86300000000000.0
05-12-1996,178.1,184.9,176.75,182.85,6752800,123000000000000.0
